,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
t1,0.19966942424242423,0.02898442424242423,0.015477590909090878,0.06484130303030303,-0.011649060606060609,0.029921530303030318,0.031219863636363664,-0.012486878787878785,0.02491589393939394,0.03741115151515153
t2,0.02898442424242423,0.42632687878787867,0.032138318181818205,-0.08748906060606061,0.07094030303030309,0.0007646212121212505,0.0025252272727272485,-0.10716887878787876,0.01272225757575759,-0.005022030303030321
t3,0.015477590909090878,0.032138318181818205,0.05693020454545474,0.021207363636363656,-0.03525127272727273,-0.04785602272727277,-0.014722659090909297,0.016232681818181785,0.003016431818181781,0.03509977272727269
t4,0.06484130303030303,-0.08748906060606061,0.021207363636363656,0.07217587878787879,-0.010514212121212124,0.012037515151515155,-0.0047140909090909126,0.03389033333333334,-0.007738848484848488,0.0028447575757575773
t5,-0.011649060606060609,0.07094030303030309,-0.03525127272727273,-0.010514212121212124,0.12336896969696966,0.026120969696969653,0.023278545454545472,-0.04782484848484853,0.017259060606060597,-0.05728078787878788
t6,0.029921530303030318,0.0007646212121212505,-0.04785602272727277,0.012037515151515155,0.026120969696969653,0.25052771969696963,0.00855820454545461,0.038697106060606,0.0006313560606060475,-0.09125437878787879
t7,0.031219863636363664,0.0025252272727272485,-0.014722659090909297,-0.0047140909090909126,0.023278545454545472,0.00855820454545461,0.0705623863636367,-0.0012590454545454105,0.006272750000000105,0.04132904545454552
t8,-0.012486878787878785,-0.10716887878787876,0.016232681818181785,0.03389033333333334,-0.04782484848484853,0.038697106060606,-0.0012590454545454105,0.12608451515151511,-0.009433166666666704,0.03088084848484847
t9,0.02491589393939394,0.01272225757575759,0.003016431818181781,-0.007738848484848488,0.017259060606060597,0.0006313560606060475,0.006272750000000105,-0.009433166666666704,0.1115479015151515,0.00012453030303030308
t10,0.03741115151515153,-0.005022030303030321,0.03509977272727269,0.0028447575757575773,-0.05728078787878788,-0.09125437878787879,0.04132904545454552,0.03088084848484847,0.00012453030303030308,0.1683150606060606
